Date,Open,High,Low,Close,Volume
14-Aug-15,17.76,17.99,16.82,16.95,37248183
13-Aug-15,18.23,18.38,17.67,17.70,15468644
12-Aug-15,17.65,18.33,17.52,18.19,20484514
11-Aug-15,18.63,18.63,17.68,17.88,22959210
10-Aug-15,18.58,18.96,18.32,18.82,25232391
7-Aug-15,18.45,18.53,18.00,18.44,23718250
6-Aug-15,18.93,18.96,18.45,18.72,29928553
5-Aug-15,19.18,19.47,18.88,18.91,23370837
4-Aug-15,19.17,19.19,18.60,19.01,19934519
3-Aug-15,18.61,19.39,18.59,19.00,32958265
31-Jul-15,20.02,20.03,18.47,18.51,55074887
30-Jul-15,19.75,20.10,19.46,19.90,31248653
29-Jul-15,19.98,20.57,19.67,19.87,41557949
28-Jul-15,18.35,20.08,18.20,19.75,51809485
27-Jul-15,18.10,18.67,17.57,18.12,27584063
24-Jul-15,18.60,18.70,18.06,18.34,21567411
23-Jul-15,18.33,18.93,18.30,18.70,32805214
22-Jul-15,18.53,18.63,17.85,18.00,43635067
21-Jul-15,18.84,19.11,18.51,18.88,29340299
20-Jul-15,20.08,20.08,18.78,18.89,41989277
17-Jul-15,19.53,20.24,19.37,20.12,34081329
16-Jul-15,19.25,19.74,19.09,19.61,34717212
15-Jul-15,19.49,19.65,18.77,18.89,41983208
14-Jul-15,19.76,19.84,19.00,19.61,103878597
13-Jul-15,17.83,17.85,17.39,17.61,35788069
10-Jul-15,17.33,17.65,17.15,17.57,24282875
9-Jul-15,17.87,18.01,17.14,17.15,47087077
8-Jul-15,17.96,17.98,17.49,17.63,30898907
7-Jul-15,18.13,18.36,17.37,18.20,46293247
6-Jul-15,18.84,18.98,18.23,18.32,37875804
2-Jul-15,18.83,19.38,18.81,19.07,26178060
1-Jul-15,19.05,19.10,18.63,18.78,25027123
30-Jun-15,18.89,19.10,18.55,18.84,34683928
29-Jun-15,19.34,19.60,18.60,18.73,49126054
26-Jun-15,20.27,20.60,19.43,19.66,149010345
25-Jun-15,24.13,24.24,23.66,24.02,38347834
24-Jun-15,24.44,24.49,24.00,24.06,21243663
23-Jun-15,24.63,24.86,24.38,24.49,16168897
22-Jun-15,24.14,24.71,24.00,24.63,26231155
19-Jun-15,24.80,24.97,24.46,24.47,25589259
18-Jun-15,24.64,24.82,24.43,24.46,21570828
17-Jun-15,24.30,24.68,24.23,24.48,17951714
16-Jun-15,24.05,24.32,23.88,24.24,19173054
15-Jun-15,24.22,24.25,23.70,24.24,44190248
12-Jun-15,24.89,25.38,24.71,25.13,21123900
11-Jun-15,25.20,25.39,24.97,25.02,25793546
10-Jun-15,25.52,25.59,25.03,25.19,23802909
9-Jun-15,25.91,25.95,24.94,25.19,39816660
8-Jun-15,26.51,26.63,25.80,25.92,23252583
5-Jun-15,27.00,27.00,26.50,26.59,16585396
4-Jun-15,26.90,27.24,26.71,26.98,22186159
3-Jun-15,28.00,28.01,27.01,27.08,29623360
2-Jun-15,28.36,28.41,27.77,27.79,18228003
